Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Hanif H., Hakim I.M.",57213186209;57052625300;,Job Rotation Optimization using Mixed-Integer Nonlinear Programming (MINLP) Method to Balance Operator Workload in Automotive Industry,2020,ACM International Conference Proceeding Series,,,3429800,,,,,10.1145/3429789.3429800,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097348880&doi=10.1145%2f3429789.3429800&partnerID=40&md5=09101882487183fc69167f174b65b85f,Automotive industry; ergonomics; job rotation; mixed-integer nonlinear programming; optimization; workload balancing,Balancing; Engineering research; Ergonomics; Integer programming; Mathematical operators; Nonlinear programming; Personnel training; Ergonomic analysis; Manufacturing industries; Mixed-integer nonlinear programming; Musculoskeletal disorders; Operator workload; Physical workloads; Standard deviation; Workforce planning; Rotation,Conference Paper,Final,,Scopus,2-s2.0-85097348880
"Filkova S., Usheva N.",57220076117;42062694300;,Ergonomic requirements for learning environment for prevention of spinal deformities,2020,"Proceedings of the International Conference on Biomedical Innovations and Applications, BIA 2020",,,9244504,49,51,,,10.1109/BIA50171.2020.9244504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096806108&doi=10.1109%2fBIA50171.2020.9244504&partnerID=40&md5=59bb8a18e7eae890448b09eff3100422,ergonomics; learning environment; prevention of spinal deformities; pupils,Ergonomics; Early age; Electronic device; Learning environments; Physical activity; Preventive measures; Risk factors; Spinal deformity; Computer aided instruction,Conference Paper,Final,,Scopus,2-s2.0-85096806108
"Nygaard P.P., Skovlund S.V., Sundstrup E., Andersen L.L.",57219156516;57215774304;35801416800;26634786600;,Is low-back pain a limiting factor for senior workers with high physical work demands? A cross-sectional study,2020,BMC Musculoskeletal Disorders,21,1,622,,,,2,10.1186/s12891-020-03643-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091470614&doi=10.1186%2fs12891-020-03643-1&partnerID=40&md5=9fffdf17f61998f53526699b2b3f4d56,Ergonomics; Low-back; Musculoskeletal disease; Occupational medicine; Physical work; Sustainable employment; Work ability; Work limitations; Workplace,adult; age distribution; Article; clinical outcome; controlled study; cross-sectional study; ergonomics; female; human; logistic regression analysis; low back pain; major clinical study; male; manual labor; middle aged; named groups by occupation; pain intensity; questionnaire; risk factor; senior worker; sitting; work capacity; workplace,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85091470614
"Xi Z., Mengdi Y.",57219551461;57219550827;,Research on multifunctional beds for behavioral disorders in the elderly,2020,E3S Web of Conferences,189,,3036,,,,,10.1051/e3sconf/202018903036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093858899&doi=10.1051%2fe3sconf%2f202018903036&partnerID=40&md5=dd58a737b3fb701a9f05ead02df89d34,,Agriculture; Ergonomics; Hospital beds; Hospitals; Medical problems; Patient treatment; Behavioral state; Investigation methods; Medical treatment; Observation method; Physical activity; Physical mobility; Physical movements; Scenario analysis; Patient rehabilitation,Conference Paper,Final,"All Open Access, Gold",Scopus,2-s2.0-85093858899
"Wu Y., Zhao F., Kim W., Ajoudani A.",57202714727;57195553684;55978740100;23388667500;,An intuitive formulation of the human arm active endpoint stiffness,2020,Sensors (Switzerland),20,18,5357,1,15,,,10.3390/s20185357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091066661&doi=10.3390%2fs20185357&partnerID=40&md5=fc5b261bd22fa2e9e6718dd3af487fd8,Human factors; Physical human–robot collaboration; Robot adaptation and learning,"Eigenvalues and eigenfunctions; Muscle; Stiffness; Stiffness matrix; Eigen decomposition; Ergonomic assessment; Geometric information; Muscle activation; Positive definite; Real time modeling; Robot interactions; Skeleton structure; Social robots; arm; human; joint characteristics and functions; movement (physiology); skeleton; theoretical model; Arm; Humans; Models, Theoretical; Movement; Range of Motion, Articular; Skeleton",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85091066661
"Major Z.Z., Vaida C., Major K.A., Tucan P., Simori G., Banica A., Brusturean E., Burz A., Craciunas R., Ulinici I., Carbone G., Gherman B., Birlescu I., Pisla D.",51764044900;24377283500;56829141400;57190377695;57218891777;57196042997;57218892492;57210119168;57208888144;57195466776;7005370456;28067906700;57195220023;14067935700;,The impact of robotic rehabilitation on the motor system in neurological diseases. A multimodal neurophysiological approach,2020,International Journal of Environmental Research and Public Health,17,18,6557,1,19,,3,10.3390/ijerph17186557,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090643375&doi=10.3390%2fijerph17186557&partnerID=40&md5=4f3a7ca29430236e0fa70c95dc8e0d44,ALS; Motor conduction time; Parkinson’s; Physical therapy; QEEG; Robotic rehabilitation; Stroke; Turn-amplitude analysis,disability; movement; nervous system disorder; neurology; pathology; physiology; robotics; technology adoption; aged; amplitude modulation; Article; clinical evaluation; controlled study; electroencephalogram; ergonomics; exploratory research; female; human; joint function; male; motor nerve conduction; motor performance; motor system; neurologic disease; neurologic disease assessment; neurophysiology; neurorehabilitation; quantitative analysis; therapy effect; cerebrovascular accident; disabled person; motor dysfunction; robotics; stroke rehabilitation; Aged; Disabled Persons; Female; Humans; Male; Motor Disorders; Nervous System Diseases; Robotics; Stroke; Stroke Rehabilitation,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85090643375
"Galey L., Audignon S., Witschger O., Bau S., Judon N., Lacourt A., Garrigou A.",57203457786;55675793200;6602139667;28067517400;57203570509;36458424800;7801318339;,What does ergonomics have to do with nanotechnologies? A case study,2020,Applied Ergonomics,87,,103116,,,,,10.1016/j.apergo.2020.103116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083733784&doi=10.1016%2fj.apergo.2020.103116&partnerID=40&md5=3bb65e0cf757345896911c977ca3fee9,Design project; Measurement; Nanotechnologies; Participatory ergonomics,Ergonomics; Nanoparticles; Physical strains; Real time measurements; Work activities; Rubber industry; aluminum oxide; calcium carbonate; carbon; kaolin; nanoparticle; nanoparticle; rubber; adult; Article; case study; controlled study; ergonomics; heart rate; human; industrial worker; interview; job performance; nanotechnology; occupational exposure; physical stress; rubber industry; secondary organic aerosol; aerosol; chemical industry; exercise; health services research; occupational disease; physiology; work; Aerosols; Chemical Industry; Ergonomics; Humans; Nanoparticles; Nanotechnology; Occupational Diseases; Occupational Exposure; Organizational Case Studies; Physical Exertion; Rubber; Work,Article,Final,,Scopus,2-s2.0-85083733784
"Bruno F., Barbieri L., Muzzupappa M.",24802130800;24801940500;56004816400;,A Mixed Reality system for the ergonomic assessment of industrial workstations,2020,International Journal on Interactive Design and Manufacturing,14,3,,805,812,,,10.1007/s12008-020-00664-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088990511&doi=10.1007%2fs12008-020-00664-x&partnerID=40&md5=e0afb4bf0ec8b91f2ee2fdbd619a3875,Ergonomics; Industry 4.0; Mixed Reality; Rapid prototyping,3D printers; Computer software; Ergonomics; Helmet mounted displays; Ergonomic analysis; Ergonomic assessment; Ergonomics analysis; Head mounted displays; Industrial sector; Mixed reality systems; Physical components; Virtual workplace; Mixed reality,Article,Final,,Scopus,2-s2.0-85088990511
"Al-Qaisi S.K., El Tannir A., Younan L.A., Kaddoum R.N.",55189300700;57216522249;55885988900;22947614100;,An ergonomic assessment of using laterally-tilting operating room tables and friction reducing devices for patient lateral transfers,2020,Applied Ergonomics,87,,103122,,,,1,10.1016/j.apergo.2020.103122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083762247&doi=10.1016%2fj.apergo.2020.103122&partnerID=40&md5=4412c3548a4978ced890c1ccce577cf9,Electromyography; Ergonomics; Friction-reducing device; Operating room table angle; Patient lateral transfer,Efficiency; Ergonomics; Friction; Muscle; Nursing; Operating rooms; Plastic containers; Remote control; Students; Adjacent surfaces; Erector spinae muscles; Ergonomic assessment; Ergonomic intervention; Friction-reducing; Muscle activation; Musculoskeletal disorders; Patient transfer; Patient treatment; adult; Article; college student; controlled study; deltoid muscle; electromyography; erector spinae muscle; ergonomics; exercise; friction; human; human experiment; latissimus dorsi muscle; male; normal human; nursing student; patient lateral transfer; patient transport; surface property; trapezius muscle; adverse event; equipment design; female; friction; lumbosacral region; musculoskeletal disease; nurse; occupational disease; operating table; patient lifting; patient simulation; physiology; procedures; shoulder; work; young adult; Adult; Electromyography; Equipment Design; Ergonomics; Female; Friction; Humans; Lumbosacral Region; Male; Moving and Lifting Patients; Musculoskeletal Diseases; Nurses; Occupational Diseases; Operating Tables; Patient Simulation; Physical Exertion; Shoulder; Work; Young Adult,Article,Final,,Scopus,2-s2.0-85083762247
"Allespach H., Sussman M., Bolanos J., Schulman C.I., Atri E.",6505986098;56414258700;57218371852;7202810772;57218821578;,Practice Longer and Stronger: Maximizing the Physical Well-Being of Surgical Residents with Targeted Ergonomics Training,2020,Journal of Surgical Education,77,5,,1024,1027,,1,10.1016/j.jsurg.2020.04.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088931940&doi=10.1016%2fj.jsurg.2020.04.001&partnerID=40&md5=83a49b42b40f7b94b25b1727afa9ff77,Ergonomics; Physician wellness; Resident health; Surgical residents,Article; cervical spine; curriculum; disability; ergonomics; human; low back pain; lumbar spine; medical student; neck pain; physical performance; physical well-being; physiotherapist; priority journal; professional burnout; resident; retirement; retrospective study; stretching exercise; surgical training,Article,Final,,Scopus,2-s2.0-85088931940
"Joshi M., Deshpande V.",57202983807;7103112263;,Investigative study and sensitivity analysis of Rapid Entire Body Assessment (REBA),2020,International Journal of Industrial Ergonomics,79,,103004,,,,3,10.1016/j.ergon.2020.103004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089602233&doi=10.1016%2fj.ergon.2020.103004&partnerID=40&md5=7024767f973e477f285124310cf78c77,Comparison; Ergonomic assessment; MSDs; REBA; Regression; Sensitivity; Work-related musculoskeletal disorders,Regression analysis; Full factorial design; Posture assessment; Research gaps; Sensitive zones; Sensitivity analysis; analytical parameters; Article; body position; body weight; ergonomics; factorial design; investigative procedures; musculoskeletal disease; occupational disease; physical examination; priority journal; rapid entire body assessment; regression analysis; scoring system; sensitivity analysis,Article,Final,,Scopus,2-s2.0-85089602233
"Oluka C.D., Obidike E., Ezeukwu A.O., Onyeso O.K., Ekechukwu E.N.D.",57218758163;57218759429;54381768700;57211300234;57203455193;,"Prevalence of work-related musculoskeletal symptoms and associated risk factors among domestic gas workers and staff of works department in Enugu, Nigeria: A cross-sectional study",2020,BMC Musculoskeletal Disorders,21,1,587,,,,,10.1186/s12891-020-03615-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090181591&doi=10.1186%2fs12891-020-03615-5&partnerID=40&md5=725a87952e8a5621659286c51b683fdf,Ergonomics; Exercise; Manual handling; Musculoskeletal disorders; Personal protective equipment; Prevalence; Shift duty,adult; Article; biomechanics; clinical assessment; cohort analysis; controlled study; cross-sectional study; diastolic blood pressure; exercise; female; human; low back pain; male; medical examination; musculoskeletal disease; Nigeria; occupational disease; occupational hazard; oil industry; physical activity; prevalence; risk factor; risk reduction; sex difference; shift schedule; shoulder injury; sleep time,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85090181591
"Lecocq M., Lantoine P., Bougard C., Allègre J.-M., Bauvineau L., Bourdin C., Marqueste T., Dousset E.",56925130700;57216646616;23768015500;57216649942;57216649119;6603566648;6602760825;6507970090;,Neuromuscular fatigue profiles depends on seat feature during long duration driving on a static simulator,2020,Applied Ergonomics,87,,103118,,,,,10.1016/j.apergo.2020.103118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084179976&doi=10.1016%2fj.apergo.2020.103118&partnerID=40&md5=a83c8e5bbd0b80bc706f21d63f91b7b9,Discomfort; Neuromuscular fatigue; Prolonged driving; Seat design,Ergonomics; Physical therapy; Discomfort level; Driving session; Endurance time; Erector spinae; Neuromuscular activity; Neuromuscular fatigue; Surface electromyography; Tibialis anterior; Muscle; Article; car driving; driving ability; electromyography; endurance static test; endurance training; Erector spinae longissimus; erector spinae muscle; human; long duration driving; multifidus muscle; muscle contraction; muscle weakness; neuromuscular function; simulation training; tibialis anterior muscle; Trapezius descendens; trapezius muscle; vastus lateralis muscle; adult; adverse event; back muscle; car; car driving; computer simulation; equipment design; ergonomics; low back pain; muscle fatigue; neck pain; pathophysiology; physiology; psychology; sitting; time factor; Adult; Automobile Driving; Automobiles; Back Muscles; Computer Simulation; Electromyography; Equipment Design; Ergonomics; Humans; Low Back Pain; Muscle Fatigue; Neck Pain; Sitting Position; Time Factors,Article,Final,,Scopus,2-s2.0-85084179976
"Jung M.-C., Hwang J.",14054311900;35810273000;,Evaluation of recessed and bar handles of freezer door in refrigerator,2020,Human Factors and Ergonomics In Manufacturing,30,5,,329,335,,,10.1002/hfm.20844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083834921&doi=10.1002%2fhfm.20844&partnerID=40&md5=10f9ae2331cf10a411695a99d6a8ef6b,biomechanics; freezer; handle height; handle type; satisfaction,Ergonomics; Industrial engineering; Design Component; Flexion moments; Physical demand; Refrigerators,Article,Final,,Scopus,2-s2.0-85083834921
"Hwang J., Ari H., Matoo M., Chen J., Kim J.H.",35810273000;57216461029;57216455912;57212282221;54787831800;,Air-assisted devices reduce biomechanical loading in the low back and upper extremities during patient turning tasks,2020,Applied Ergonomics,87,,103121,,,,3,10.1016/j.apergo.2020.103121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083569522&doi=10.1016%2fj.apergo.2020.103121&partnerID=40&md5=21ce6cf381d7d9115b4716dc7f0dee24,Electromyography; Low back moment; Musculoskeletal disorders; Patient handling; Shoulder posture,"Muscle; Assistive devices; Biomechanical loading; Friction-reducing; Laboratory studies; Muscle activities; Musculoskeletal disorders; Physical risk factors; Simulated patients; Biomechanics; adult; Article; back; biomechanics; body mass; electromyography; erector spinae muscle; female; human; kinematics; male; muscle contraction; musculoskeletal function; risk factor; self report; shoulder; triceps brachii muscle; trunk; turning; upper limb; young adult; back; biomechanics; body position; devices; equipment design; ergonomics; joint characteristics and functions; paraspinal muscle; patient lifting; patient simulation; physiology; procedures; self help device; task performance; upper limb; weight bearing; work; Adult; Back; Biomechanical Phenomena; Equipment Design; Ergonomics; Female; Humans; Male; Moving and Lifting Patients; Muscle Contraction; Paraspinal Muscles; Patient Simulation; Posture; Range of Motion, Articular; Self-Help Devices; Task Performance and Analysis; Upper Extremity; Weight-Bearing; Work",Article,Final,,Scopus,2-s2.0-85083569522
"Anderson J.E., Ross A.J., Macrae C., Wiig S.",35315321500;57202881955;35981587700;24726108200;,Defining adaptive capacity in healthcare: A new framework for researching resilient performance,2020,Applied Ergonomics,87,,103111,,,,10,10.1016/j.apergo.2020.103111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083395690&doi=10.1016%2fj.apergo.2020.103111&partnerID=40&md5=a80f8a4fa67720dd3082f25e96e7b061,Multi-level resilience; Resilience framework; Resilience potentials; Resilient healthcare,"Ergonomics; Physical therapy; Adaptive capacity; Engineering concepts; Health-care system; Organisational factors; Quality of health care; Resilience model; Theoretical development; Health care; article; health care system; human; learning; theoretical study; health care delivery; health care quality; nonbiological model; organization and management; psychological resilience; system analysis; theoretical model; Delivery of Health Care; Humans; Models, Organizational; Models, Theoretical; Quality of Health Care; Resilience, Psychological; Systems Analysis",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85083395690
"Thoroman B., Salmon P., Goode N.",57203945838;12781670000;54391049900;,Applying AcciMap to test the common cause hypothesis using aviation near misses,2020,Applied Ergonomics,87,,103110,,,,,10.1016/j.apergo.2020.103110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083272253&doi=10.1016%2fj.apergo.2020.103110&partnerID=40&md5=171f3bcfc2cb3555b74494d85a0e474d,AcciMap analysis; Aviation; Common cause hypothesis; Near miss,"Ergonomics; Physical therapy; Accimap; Adverse outcomes; Contributory factors; Crash investigation; Incident reports; Near-misses; Sociotechnical; Systems thinking; Aviation; adverse outcome; article; aviation; human; human experiment; incident report; outcome assessment; aircraft; aircraft accident; ergonomics; risk management; system analysis; Accidents, Aviation; Aircraft; Ergonomics; Humans; Risk Management; Systems Analysis",Article,Final,,Scopus,2-s2.0-85083272253
"Diefenbach H., Glock C.H.",57211212188;26867716500;,Economic and ergonomic design of u-shaped order picking zones. [Ökonomisch und ergonomisch optimierte Gestaltung von U-förmigen Kommissionierlagern],2020,ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,115,9,,590,594,,,10.3139/104.112167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092555891&doi=10.3139%2f104.112167&partnerID=40&md5=ca180881fd7e98ba5ba6d07385ed874c,,Materials handling; Ergonomic design; Order picking; Order-picking systems; Physical strains; Solution approach; U-shaped; Warehouses,Article,Final,,Scopus,2-s2.0-85092555891
"Gallozzi A., Panigazzi M., Scafa F., Capodaglio E.M., Candura S.M.",57220156384;7801552008;6603113203;7006550038;7004450309;,Job preservation by an office worker with idiopathic cervical dystonia: case report,2020,La Medicina del lavoro,111,6,,457,462,,,10.23749/mdl.v111i6.9874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098278966&doi=10.23749%2fmdl.v111i6.9874&partnerID=40&md5=438706ba6b2d2963f787a8842b727589,,adult; case report; ergonomics; human; male; middle aged; occupation; occupational disease; physical examination; torticollis; workplace; Adult; Ergonomics; Humans; Male; Middle Aged; Occupational Diseases; Occupations; Physical Examination; Torticollis; Workplace,Article,Final,,Scopus,2-s2.0-85098278966
"Lindblom J., Kolbeinsson A., Thorvald P.",7006805787;57190744760;35103709600;,Narrowing the Gap of Cognitive and Physical Ergonomics in DHM Through Embodied Tool Use,2020,Advances in Transdisciplinary Engineering,11,,,311,322,,,10.3233/ATDE200038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091223768&doi=10.3233%2fATDE200038&partnerID=40&md5=d2330418b9b0c0b2857aa6935f37801d,DHM; Embodied Tool Use; Ergonomics; User Experience,User experience; Cognitive ergonomics; Digital human modeling; Embodied cognition; Frame of reference; Human factors and ergonomics; Mediated interaction; Physical ergonomics; User experiences (ux); Ergonomics,Conference Paper,Final,,Scopus,2-s2.0-85091223768
"Peters M., Wischniewski S.",57204496182;16647985500;,Evaluation of physical workload using simulation versus motion capturing data for biomechanical models,2020,Advances in Transdisciplinary Engineering,11,,,380,387,,,10.3233/ATDE200046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091246345&doi=10.3233%2fATDE200046&partnerID=40&md5=55c656c503e8bce7a2a5631cf1d69a5c,Biomechanics; DHM; Ergonomics; Inverse Dynamic; Risk Assessment; WRMSD,Biomechanics; Ergonomics; Risk assessment; Risk perception; Bio-mechanical models; Biomechanical loads; Biomechanical parameters; Computer generated; Digital human models; Ergonomic evaluation; Physical risk factors; Work-related musculoskeletal disorders; Occupational risks,Conference Paper,Final,,Scopus,2-s2.0-85091246345
"Wang B., Huang S., Yi B., Bao J.",57201431988;57188641366;55246799500;57211979245;,State-of-art of Human Factors/Ergonomics in Intelligent Manufacturing [面向智能制造的人因工程研究与发展],2020,Jixie Gongcheng Xuebao/Journal of Mechanical Engineering,56,16,,240,253,,1,10.3901/JME.2020.16.240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094177447&doi=10.3901%2fJME.2020.16.240&partnerID=40&md5=49f38b61d7d805e76a43c82c49b02111,Ergonomics; Human factors; Human-cyber-physical systems; Human-machine relationship; Intelligent manufacturing,Embedded systems; Human engineering; Integration; Manufacture; Discipline constructions; Emerging technologies; Horizontal organizations; Human centered concepts; Human-machine collaboration; Human-machine relationships; Intelligent Manufacturing; Quantitative and qualitative researches; Industrial research,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85094177447
"Jiao J., Zhou F., Gebraeel N.Z., Duffy V.",7004368712;56640372700;6507259235;7007049892;,Towards augmenting cyber-physical-human collaborative cognition for human-automation interaction in complex manufacturing and operational environments,2020,International Journal of Production Research,58,16,,5089,5111,,5,10.1080/00207543.2020.1722324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081729116&doi=10.1080%2f00207543.2020.1722324&partnerID=40&md5=37b587967ab73e41a84fe6082ebf40e6,augmented cognition; cyber-physical-human systems; Human factors in manufacturing; human-automation interaction,Cognitive systems; Cyber Physical System; Decision making; Man machine systems; Manufacture; Augmented cognition; Collaborative cognition; Collective intelligences; Complex manufacturing; Human system; Human-automation interactions; Model-based decision-making; Operational environments; Automation,Review,Final,,Scopus,2-s2.0-85081729116
"Golightly D., Gamble C., Palacin R., Pierce K.",57220363641;55412754600;16176000900;24462275700;,Applying ergonomics within the multi-modelling paradigm with an example from multiple UAV control,2020,Ergonomics,63,8,,1027,1043,,1,10.1080/00140139.2020.1723683,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088778204&doi=10.1080%2f00140139.2020.1723683&partnerID=40&md5=64e4aad8e8677cbbc04577a6d9cb933c,automation; Computational modelling; control systems; cyber-physical systems; UAV,Adaptive control systems; Aircraft control; Antennas; Application programming interfaces (API); Automation; Computation theory; Computational fluid dynamics; Computational methods; Computer control systems; Computer systems programming; Continuous time systems; Control systems; Cyber Physical System; Discrete event simulation; Discrete time control systems; Embedded systems; Functional programming; Human computer interaction; Markup languages; Mockups; Model predictive control; Modeling languages; Predictive control systems; System of systems; Systems analysis; Unmanned aerial vehicles (UAV); Commerical off the shelves; Computational approach; Computational modelling; Cyber physical systems (CPSs); Design and simulation; Design space exploration; Key-stroke level models; Performance research; Ergonomics; article; automation; case report; clinical article; computational fluid dynamics; control system; ergonomics; finite element analysis; human; human computer interaction; human experiment; markup language; model predictive control; physical model; physician; proof of concept; theoretical study; unmanned aerial vehicle; aircraft; computer simulation; remote sensing; system analysis; Aircraft; Automation; Computer Simulation; Ergonomics; Humans; Remote Sensing Technology; Systems Analysis,Article,Final,,Scopus,2-s2.0-85088778204
"Asadi H., Zhou G., Lee J.J., Aggarwal V., Yu D.",57205717985;57216456632;57212135992;24066547400;55190007200;,A computer vision approach for classifying isometric grip force exertion levels,2020,Ergonomics,63,8,,1010,1026,,1,10.1080/00140139.2020.1745898,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083559400&doi=10.1080%2f00140139.2020.1745898&partnerID=40&md5=2b90af7a10bba0f061f3b30d4d0c8a13,Computer vision; facial expressions; high force exertions; machine learning,Deep neural networks; Flow measurement; Musculoskeletal system; Wearable technology; American conference of governmental industrial hygienists; Computer vision techniques; Contributing factor; Maximum voluntary contraction; Musculo-skeletal injuries; Musculoskeletal disorders; Neural network classifier; Receiver operating characteristics; Computer vision; computer simulation; dynamometer; ergonomics; exercise; facial expression; female; hand strength; human; machine learning; male; muscle isometric contraction; normal human; photoelectric plethysmography; young adult; Computer Simulation; Ergonomics; Facial Expression; Female; Hand Strength; Healthy Volunteers; Humans; Isometric Contraction; Machine Learning; Male; Muscle Strength Dynamometer; Photoplethysmography; Physical Exertion; Young Adult,Article,Final,,Scopus,2-s2.0-85083559400
"Holman M., Walker G., Lansdown T., Hulme A.",57212171615;8510332500;6602771146;57191635449;,Radical systems thinking and the future role of computational modelling in ergonomics: an exploration of agent-based modelling,2020,Ergonomics,63,8,,1057,1074,,8,10.1080/00140139.2019.1694173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076111049&doi=10.1080%2f00140139.2019.1694173&partnerID=40&md5=7317217cfa194b34792b9958b4320226,AI; computational modelling; Ergonomics; IoT; systems thinking,Air traffic control; Artificial intelligence; Autonomous agents; Cognitive systems; Computation theory; Computational methods; Computer control systems; Computer system recovery; Cyber Physical System; Denial-of-service attack; Embedded systems; Errors; Ferroelectric RAM; Human computer interaction; Industry 4.0; Internet of things; Network security; Simulation platform; System theory; Capability requirements; Cognitive work analysis; Computational modelling; Distributed denial of service; Human-machine cooperation; Sociotechnical systems; Systems thinking; Third industrial revolutions; Ergonomics; artificial intelligence; computer simulation; ergonomics; forecasting; human; system analysis; Artificial Intelligence; Computer Simulation; Ergonomics; Forecasting; Humans; Systems Analysis,Article,Final,,Scopus,2-s2.0-85076111049
"Delavenne X., Dargaud Y.",26039064400;35583033200;,"Pharmacokinetics for haemophilia treaters: Meaning of PK parameters, interpretation pitfalls, and use in the clinic",2020,Thrombosis Research,192,,,52,60,,1,10.1016/j.thromres.2020.05.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085038090&doi=10.1016%2fj.thromres.2020.05.005&partnerID=40&md5=8cfaa910757af9249a08176a2788a1fc,Haemophilia A; Haemophilia B; Pharmacokinetic; Recombinant human factor IX; Recombinant human factor VIII,recombinant blood clotting factor 8; recombinant blood clotting factor 9; activated partial thromboplastin time; area under the curve; bioequivalence; drug absorption; drug accumulation; drug bioavailability; drug blood level; drug distribution; drug excretion; drug half life; drug metabolism; hemophilia A; hemophilia B; human; limit of quantitation; mean residence time; measurement accuracy; measurement precision; Monte Carlo method; physical activity; population research; priority journal; prophylaxis; quality of life; Review,Review,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85085038090
"Fall M., Chuvalas C., Warning N., Rabiee M., Purdy C.",57218882372;57218875222;57218876809;6603975199;35502051300;,Enhancing SCADA System Security,2020,Midwest Symposium on Circuits and Systems,2020-August,,9184532,830,833,,,10.1109/MWSCAS48704.2020.9184532,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090558837&doi=10.1109%2fMWSCAS48704.2020.9184532&partnerID=40&md5=d3ac5068b9553a4440a7251336610f58,automated manufacturing; automated resource management; cyber-physical security; human factors impacting security; SCADA systems; trusted systems,Electric power transmission networks; Information management; Network security; SCADA systems; Efficient implementation; Formal system models; SCADA security; Security challenges; Security protocols; Sewer system; Supervisory control and data acquisition; System security; Electric power system control,Conference Paper,Final,,Scopus,2-s2.0-85090558837
"Poller D.N., Perez-Machado M.",7004443213;6602761576;,When is it time to stop working due to fatigue? A simple human factors (HF) self-assessment test,2020,Journal of Clinical Pathology,73,8,,523,,,1,10.1136/jclinpath-2020-206488,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081549497&doi=10.1136%2fjclinpath-2020-206488&partnerID=40&md5=8e82b3b1ef8aa1aa5fca2bbe9919d96a,cytopathology; diagnosis; laboratory safety,airplane crew; alertness; aviation; cytology; decision making; fatigue; human; human factors research; intensive care; Letter; pathology; performance; physical performance; polysomnography; priority journal; psychomotor vigilance task; radiology; self evaluation; sleep debt; space; visual analog scale; visual attention; wakefulness; workload; fatigue; medical error; physician; prevention and control; Fatigue; Humans; Medical Errors; Physicians; Self-Assessment,Letter,Final,"All Open Access, Green",Scopus,2-s2.0-85081549497
"Harbauer C.M., Fleischer M., Nguyen T., Bos F., Bengler K.",57219483888;57197332188;57212284520;57219483097;6507322632;,Too Close to Comfort? A New Approach of Designing a Soft Cable-Driven Exoskeleton for Lifting Tasks under Ergonomic Aspects,2020,IRCE 2020 - 2020 3rd International Conference on Intelligent Robotics and Control Engineering,,,9199238,105,109,,,10.1109/IRCE50905.2020.9199238,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093106663&doi=10.1109%2fIRCE50905.2020.9199238&partnerID=40&md5=49145a1b9bd23fa85a9b8e806243ac92,Ergonomic; Exoskeleton; Kinematics,Agricultural robots; Cables; Ergonomics; Intelligent robots; Iterative methods; Kinematics; Structural design; User experience; Ergonomic design; Force distributions; Interaction forces; Iterative design; Kinematic chain; Kinematic designs; Maximum load capacity; Physical interactions; Exoskeleton (Robotics),Conference Paper,Final,,Scopus,2-s2.0-85093106663
